20230319 20:50:00.748481 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#62] from 127.0.0.1:49424 - tcpserver.cc:53
20230319 20:50:00.748486 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#63] from 127.0.0.1:49428 - tcpserver.cc:53
20230319 20:50:00.748491 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#64] from 127.0.0.1:49438 - tcpserver.cc:53
20230319 20:50:00.748497 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#65] from 127.0.0.1:49452 - tcpserver.cc:53
20230319 20:50:00.748506 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#66] from 127.0.0.1:49454 - tcpserver.cc:53
20230319 20:50:00.748510 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#67] from 127.0.0.1:49462 - tcpserver.cc:53
20230319 20:50:00.748534 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#68] from 127.0.0.1:49472 - tcpserver.cc:53
20230319 20:50:00.748547 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#69] from 127.0.0.1:49476 - tcpserver.cc:53
20230319 20:50:00.748554 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#70] from 127.0.0.1:49480 - tcpserver.cc:53
20230319 20:50:00.748556 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#60] - tcpserver.cc:38
20230319 20:50:00.748562 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#71] from 127.0.0.1:49484 - tcpserver.cc:53
20230319 20:50:00.748564 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#52] - tcpserver.cc:38
20230319 20:50:00.748565 56902 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748569 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#72] from 127.0.0.1:49500 - tcpserver.cc:53
20230319 20:50:00.748577 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#73] from 127.0.0.1:49516 - tcpserver.cc:53
20230319 20:50:00.748627 56902 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748646 56902 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748675 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748683 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748696 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748702 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748711 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748725 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748739 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748782 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748821 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748891 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748934 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.749021 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#74] from 127.0.0.1:49522 - tcpserver.cc:53
20230319 20:50:00.749051 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#64] - tcpserver.cc:38
20230319 20:50:00.749067 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.749068 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#27] - tcpserver.cc:38
20230319 20:50:00.749073 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#38] - tcpserver.cc:38
20230319 20:50:00.749075 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#35] - tcpserver.cc:38
20230319 20:50:00.749076 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#30] - tcpserver.cc:38
20230319 20:50:00.749077 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#31] - tcpserver.cc:38
20230319 20:50:00.749078 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#42] - tcpserver.cc:38
20230319 20:50:00.749079 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#54] - tcpserver.cc:38
20230319 20:50:00.749080 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#46] - tcpserver.cc:38
20230319 20:50:00.749081 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#34] - tcpserver.cc:38
20230319 20:50:00.749082 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#50] - tcpserver.cc:38
20230319 20:50:00.749083 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#58] - tcpserver.cc:38
20230319 20:50:00.749084 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#72] - tcpserver.cc:38
20230319 20:50:00.749085 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#68] - tcpserver.cc:38
20230319 20:50:00.749086 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#62] - tcpserver.cc:38
20230319 20:50:00.749087 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#66] - tcpserver.cc:38
20230319 20:50:00.749088 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#39] - tcpserver.cc:38
20230319 20:50:00.749089 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#43] - tcpserver.cc:38
20230319 20:50:00.749090 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#51] - tcpserver.cc:38
20230319 20:50:00.749091 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#55] - tcpserver.cc:38
20230319 20:50:00.749092 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#59] - tcpserver.cc:38
